Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;9487;8945;10029;100;30;30;0;3;100;Totalt i retning Tromsø;8888;596;164;255;162;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;9503;8907;10099;100;30;30;0;2;100;Totalt i retning Kvaløya;8887;614;177;260;161;16;16;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;18990;17858;20122;100;30;30;0;5;100;Totalt;17775;1210;341;515;323;31;31;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;7688;7210;8166;100;31;31;0;2;100;1;7190;496;152;206;127;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;7612;7162;8062;100;31;31;0;1;100;2;7137;474;134;201;129;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;7612;7162;8062;100;31;31;0;1;100;Totalt i retning Tromsø;7137;474;134;201;129;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;7688;7210;8166;100;31;31;0;2;100;Totalt i retning Kvaløya;7190;496;152;206;127;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;15300;14378;16222;100;31;31;0;3;100;Totalt;14327;971;286;407;257;21;21;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;8722;8164;9280;100;31;31;0;2;100;1;8168;552;171;220;146;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;8720;8210;9230;100;31;31;0;1;100;2;8189;530;155;214;148;13;13;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;8720;8210;9230;100;31;31;0;1;100;Totalt i retning Tromsø;8189;530;155;214;148;13;13;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;8722;8164;9280;100;31;31;0;2;100;Totalt i retning Kvaløya;8168;552;171;220;146;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;17443;16382;18504;100;31;31;0;4;100;Totalt;16357;1082;326;435;294;27;27;0
